idgenome difference_parent1 difference_parent2 difference_parents
10 0.5 0.94 1.09
11 1.62 0.92 1.91
12 0.89 0.9 1.61
13 1.68 1.22 1.92
14 1.58 1.12 1.03
15 0.29 1 1.08
16 1.02 0.92 0.94
17 0.65 1.08 1.17
18 1.29 0.89 1.02
19 0.92 1.09 1.17
20 0 0 0
21 0.9 0.12 0.92
22 1.16 0.48 1.13
23 1.08 1.07 0.94
24 1.4 0.35 1.26
25 1.38 0.54 1.56
26 1.03 0 1.03
27 0 1.56 1.56
28 1.62 0 1.62
29 1.57 0 1.57
30 0.34 1.47 1.56
31 0.58 1.65 1.91
32 1.13 1.13 0
33 0.84 1.38 0.93
34 1.13 0.3 1.29
35 0.92 1.13 1.56
36 1.39 1.65 1.91
37 0.6 1.73 1.62
38 1.13 1.13 0
39 1.61 0.69 1.51
40 0.83 0 0.83
41 1.31 1.11 0.44
42 0 1.13 1.13
43 0.48 1.68 1.57
44 0 0.83 0.83
45 0 1.31 1.31
46 0 0 0
47 0.71 0.24 0.83
48 0.48 1.64 1.81
49 0 0.83 0.83
50 0.72 0.43 0.83
51 0.97 0.93 0.19
52 0.5 0.29 0.71
53 0.29 0.5 0.71
54 0.97 0.9 1.31
