generation maxfitness meanfitness nichecoverage_generation nichecoverage_accumulated branching connectivity1 connectivity2 coverage effective_joints length_ratio sensors symmetry total_components
1 1 0.5 0 10 1 7 4 7 4 8 6 4 9
2 1 0.8 0 15 1 8 5 9 5 10 9 5 11
3 1 1 0 19 1 9 5 12 6 11 11 5 12
4 1 1 0 23 1 9 5 14 6 13 11 7 12
5 1 1 0 24 1 9 5 15 7 14 11 7 12
6 1 1 0 28 1 11 6 16 8 15 12 8 13
7 1 0.9 0 31 2 11 6 16 8 15 12 8 13
8 1 1 0 33 2 11 6 16 8 15 12 8 13
9 1 1 0 35 2 11 6 16 8 15 13 8 13
10 1 1 0 38 2 12 7 16 8 15 13 8 13
