generation idgenome fitgenome idparent1 fitparent1 idparent2 fitparent2 meandif
1 0 0 N -1 N -1 1.5
1 1 0 N -1 N -1 1.5
1 2 0 N -1 N -1 1.5
1 3 0 N -1 N -1 1.5
1 4 0 N -1 N -1 1.5
1 5 0 N -1 N -1 1.5
1 6 0 N -1 N -1 1.5
1 7 0 N -1 N -1 1.5
1 8 0 N -1 N -1 1.5
1 9 0 N -1 N -1 1.5
2 10 0 8 0 1 0 0
2 11 0 9 0 1 0 0
2 12 0 7 0 0 0 0
2 13 0 7 0 1 0 0
2 14 0 7 0 8 0 0
3 15 0 0 0 1 0 0
3 16 0 1 0 14 0 0
3 17 0 4 0 11 0 0
3 18 0 8 0 4 0 0
3 19 0 7 0 11 0 0
4 20 0 16 0 13 0 0
4 21 0 18 0 0 0 0
4 22 0 15 0 1 0 0
4 23 0 6 0 2 0 0
4 24 0 11 0 2 0 0
5 25 0 23 0 22 0 0
5 26 0 18 0 21 0 0
5 27 0 15 0 7 0 0
5 28 0 6 0 15 0 0
5 29 0 15 0 22 0 0
6 30 0 23 0 7 0 0
6 31 0 6 0 22 0 0
6 32 0 27 0 7 0 0
6 33 0 24 0 2 0 0
6 34 0 18 0 24 0 0
7 35 0 22 0 7 0 0
7 36 0 6 0 32 0 0
7 37 0 32 0 23 0 0
7 38 0 7 0 22 0 0
7 39 0 6 0 24 0 0
8 40 0 36 0 32 0 0
8 41 0 6 0 39 0 0
8 42 0 37 0 2 0 0
8 43 0 37 0 39 0 0
8 44 0 37 0 23 0 0
9 45 0 43 0 42 0 0
9 46 0 33 0 2 0 0
9 47 0 42 0 2 0 0
9 48 0 42 0 41 0 0
9 49 0 44 0 7 0 0
10 50 0 33 0 42 0 0
10 51 0 46 0 2 0 0
10 52 0 2 0 47 0 0
10 53 0 47 0 42 0 0
10 54 0 33 0 44 0 0
