generation idgenome branching connectivity1 connectivity2 coverage effective_joints length_ratio sensors symmetry total_components
1 0 0 0.333 1 1 0 0.25 0 0 0.04
1 1 0 0.111 0.96 0.169 0 0.4 0.111111 0 0.27
1 2 0 0.111 1 1 0 0.077 0 0 0.13
1 3 0 0.154 0.882 0.373 0.111 0.176 0 0.125 0.19
1 4 0 1 0 1 0 0.5 0.5 0 0.02
1 5 0.5 0.5 0.5 0.4 1 0.8 0.0833333 1 0.08
1 6 0 0.111 1 0.52 0 1 0.181818 0 0.13
1 7 0 0.167 1 0.667 0.333 0.75 0.166667 0 0.08
1 8 0 0.333 1 1 0 0.25 0 0 0.04
1 9 0 0.333 0.857 0.563 0 0.25 0.25 0 0.09
2 10 0 0.167 0.938 0.529 0 0.118 0.111111 0 0.18
2 11 0 0.5 0.75 0.6 0 0.4 0.2 0 0.06
2 12 0 0.333 0.714 0.6 0 0.6 0.1875 0 0.09
2 13 0 0.05 1 0.518 0 0.071 0.111111 0 0.29
2 14 0 0.286 0.75 0.5 0 0.8 0 0.25 0.1
3 15 0 0.125 1 1 0 0.091 0 0 0.11
3 16 0 0.125 1 0.375 0 0.5 0 0.2 0.12
3 17 0 0 0 1 0 1 0.5 0 0.01
3 18 0 0.333 1 1 0 0.25 0 0 0.04
3 19 0 0.5 0.714 0.6 0.25 0.6 0 0.667 0.09
4 20 0 0.125 1 0.344 0 0.5 0 0 0.11
4 21 0 0.333 1 1 0 0.25 0 0 0.04
4 22 0 0.1 1 1 0 0.071 0 0 0.14
4 23 0 0.167 1 1 0 0.111 0 0 0.09
4 24 0 0.111 1 1 0 0.077 0 0 0.13
5 25 0 0.1 1 1 0 0.071 0 0 0.14
5 26 0 0.333 1 1 0 0.25 0 0 0.04
5 27 0 0.5 0.75 0.5 0 0.75 0.25 0.4 0.06
5 28 0 0.25 1 1 0.5 0.167 0 0 0.06
5 29 0 0.125 1 1 0 0.091 0 0 0.11
6 30 0 0.25 1 1 0 0.2 0 0 0.05
6 31 0 0.1 1 1 0 0.071 0 0 0.14
6 32 0 1 0 1 0 0.5 0.333333 0 0.02
6 33 0 0.111 1 1 0 0.077 0 0 0.13
6 34 0 0.25 1 1 0 0.2 0 0 0.05
7 35 0 1 0 1 0 0.5 0.333333 0 0.02
7 36 0 0.25 1 0.5 0.5 0.75 0.25 0 0.06
7 37 0 0.333 0.714 0.429 0 0.429 0.428571 1 0.09
7 38 0 0.125 1 0.611 0.4 0.5 0.0769231 0.8 0.11
7 39 0 0.143 1 0.333 0 0.833 0.142857 0 0.1
8 40 0 0.25 1 0.5 0.5 0.75 0.125 0 0.06
8 41 0 0.1 1 0.273 0 0.455 0.111111 0 0.15
8 42 0 0.111 1 1 0 0.077 0 0 0.13
8 43 0 0.143 1 0.667 0.5 0.6 0.222222 0.75 0.1
8 44 0 0.333 0.714 0.429 0 0.429 0.428571 1 0.09
9 45 0 0.167 1 1 0 0.111 0 0 0.09
9 46 0 0.1 1 1 0 0.067 0 0 0.15
9 47 0 0.1 1 1 0 0.067 0 0 0.15
9 48 0 0.083 1 1 0 0.059 0 0 0.17
9 49 0 0.167 1 0.75 0.5 0.75 0.166667 0 0.09
10 50 0 0.167 1 1 0 0.111 0 0 0.09
10 51 0 0.1 1 1 0 0.067 0 0 0.15
10 52 0 0.1 1 1 0 0.067 0 0 0.15
10 53 0 0.1 1 1 0 0.067 0 0 0.15
10 54 0 0.1 1 1 0 0.067 0 0 0.15
