generation genome measures value
2 7 branching 0
2 7 connectivity1 0.167
2 7 connectivity2 1
2 7 coverage 0.667
2 7 effective_joints 0.333
2 7 length_ratio 0.75
2 7 sensors 0.166667
2 7 symmetry 0
2 7 total_components 0.08
2 1 branching 0
2 1 connectivity1 0.111
2 1 connectivity2 0.96
2 1 coverage 0.169
2 1 effective_joints 0
2 1 length_ratio 0.4
2 1 sensors 0.111111
2 1 symmetry 0
2 1 total_components 0.27
2 11 branching 0
2 11 connectivity1 0.5
2 11 connectivity2 0.75
2 11 coverage 0.6
2 11 effective_joints 0
2 11 length_ratio 0.4
2 11 sensors 0.2
2 11 symmetry 0
2 11 total_components 0.06
2 0 branching 0
2 0 connectivity1 0.333
2 0 connectivity2 1
2 0 coverage 1
2 0 effective_joints 0
2 0 length_ratio 0.25
2 0 sensors 0
2 0 symmetry 0
2 0 total_components 0.04
2 2 branching 0
2 2 connectivity1 0.111
2 2 connectivity2 1
2 2 coverage 1
2 2 effective_joints 0
2 2 length_ratio 0.077
2 2 sensors 0
2 2 symmetry 0
2 2 total_components 0.13
2 6 branching 0
2 6 connectivity1 0.111
2 6 connectivity2 1
2 6 coverage 0.52
2 6 effective_joints 0
2 6 length_ratio 1
2 6 sensors 0.181818
2 6 symmetry 0
2 6 total_components 0.13
2 8 branching 0
2 8 connectivity1 0.333
2 8 connectivity2 1
2 8 coverage 1
2 8 effective_joints 0
2 8 length_ratio 0.25
2 8 sensors 0
2 8 symmetry 0
2 8 total_components 0.04
2 14 branching 0
2 14 connectivity1 0.286
2 14 connectivity2 0.75
2 14 coverage 0.5
2 14 effective_joints 0
2 14 length_ratio 0.8
2 14 sensors 0
2 14 symmetry 0.25
2 14 total_components 0.1
2 13 branching 0
2 13 connectivity1 0.05
2 13 connectivity2 1
2 13 coverage 0.518
2 13 effective_joints 0
2 13 length_ratio 0.071
2 13 sensors 0.111111
2 13 symmetry 0
2 13 total_components 0.29
2 4 branching 0
2 4 connectivity1 1
2 4 connectivity2 0
2 4 coverage 1
2 4 effective_joints 0
2 4 length_ratio 0.5
2 4 sensors 0.5
2 4 symmetry 0
2 4 total_components 0.02
3 11 branching 0
3 11 connectivity1 0.5
3 11 connectivity2 0.75
3 11 coverage 0.6
3 11 effective_joints 0
3 11 length_ratio 0.4
3 11 sensors 0.2
3 11 symmetry 0
3 11 total_components 0.06
3 15 branching 0
3 15 connectivity1 0.125
3 15 connectivity2 1
3 15 coverage 1
3 15 effective_joints 0
3 15 length_ratio 0.091
3 15 sensors 0
3 15 symmetry 0
3 15 total_components 0.11
3 1 branching 0
3 1 connectivity1 0.111
3 1 connectivity2 0.96
3 1 coverage 0.169
3 1 effective_joints 0
3 1 length_ratio 0.4
3 1 sensors 0.111111
3 1 symmetry 0
3 1 total_components 0.27
3 2 branching 0
3 2 connectivity1 0.111
3 2 connectivity2 1
3 2 coverage 1
3 2 effective_joints 0
3 2 length_ratio 0.077
3 2 sensors 0
3 2 symmetry 0
3 2 total_components 0.13
3 18 branching 0
3 18 connectivity1 0.333
3 18 connectivity2 1
3 18 coverage 1
3 18 effective_joints 0
3 18 length_ratio 0.25
3 18 sensors 0
3 18 symmetry 0
3 18 total_components 0.04
3 16 branching 0
3 16 connectivity1 0.125
3 16 connectivity2 1
3 16 coverage 0.375
3 16 effective_joints 0
3 16 length_ratio 0.5
3 16 sensors 0
3 16 symmetry 0.2
3 16 total_components 0.12
3 6 branching 0
3 6 connectivity1 0.111
3 6 connectivity2 1
3 6 coverage 0.52
3 6 effective_joints 0
3 6 length_ratio 1
3 6 sensors 0.181818
3 6 symmetry 0
3 6 total_components 0.13
3 0 branching 0
3 0 connectivity1 0.333
3 0 connectivity2 1
3 0 coverage 1
3 0 effective_joints 0
3 0 length_ratio 0.25
3 0 sensors 0
3 0 symmetry 0
3 0 total_components 0.04
3 13 branching 0
3 13 connectivity1 0.05
3 13 connectivity2 1
3 13 coverage 0.518
3 13 effective_joints 0
3 13 length_ratio 0.071
3 13 sensors 0.111111
3 13 symmetry 0
3 13 total_components 0.29
3 7 branching 0
3 7 connectivity1 0.167
3 7 connectivity2 1
3 7 coverage 0.667
3 7 effective_joints 0.333
3 7 length_ratio 0.75
3 7 sensors 0.166667
3 7 symmetry 0
3 7 total_components 0.08
4 2 branching 0
4 2 connectivity1 0.111
4 2 connectivity2 1
4 2 coverage 1
4 2 effective_joints 0
4 2 length_ratio 0.077
4 2 sensors 0
4 2 symmetry 0
4 2 total_components 0.13
4 22 branching 0
4 22 connectivity1 0.1
4 22 connectivity2 1
4 22 coverage 1
4 22 effective_joints 0
4 22 length_ratio 0.071
4 22 sensors 0
4 22 symmetry 0
4 22 total_components 0.14
4 23 branching 0
4 23 connectivity1 0.167
4 23 connectivity2 1
4 23 coverage 1
4 23 effective_joints 0
4 23 length_ratio 0.111
4 23 sensors 0
4 23 symmetry 0
4 23 total_components 0.09
4 18 branching 0
4 18 connectivity1 0.333
4 18 connectivity2 1
4 18 coverage 1
4 18 effective_joints 0
4 18 length_ratio 0.25
4 18 sensors 0
4 18 symmetry 0
4 18 total_components 0.04
4 13 branching 0
4 13 connectivity1 0.05
4 13 connectivity2 1
4 13 coverage 0.518
4 13 effective_joints 0
4 13 length_ratio 0.071
4 13 sensors 0.111111
4 13 symmetry 0
4 13 total_components 0.29
4 7 branching 0
4 7 connectivity1 0.167
4 7 connectivity2 1
4 7 coverage 0.667
4 7 effective_joints 0.333
4 7 length_ratio 0.75
4 7 sensors 0.166667
4 7 symmetry 0
4 7 total_components 0.08
4 6 branching 0
4 6 connectivity1 0.111
4 6 connectivity2 1
4 6 coverage 0.52
4 6 effective_joints 0
4 6 length_ratio 1
4 6 sensors 0.181818
4 6 symmetry 0
4 6 total_components 0.13
4 21 branching 0
4 21 connectivity1 0.333
4 21 connectivity2 1
4 21 coverage 1
4 21 effective_joints 0
4 21 length_ratio 0.25
4 21 sensors 0
4 21 symmetry 0
4 21 total_components 0.04
4 24 branching 0
4 24 connectivity1 0.111
4 24 connectivity2 1
4 24 coverage 1
4 24 effective_joints 0
4 24 length_ratio 0.077
4 24 sensors 0
4 24 symmetry 0
4 24 total_components 0.13
4 15 branching 0
4 15 connectivity1 0.125
4 15 connectivity2 1
4 15 coverage 1
4 15 effective_joints 0
4 15 length_ratio 0.091
4 15 sensors 0
4 15 symmetry 0
4 15 total_components 0.11
5 23 branching 0
5 23 connectivity1 0.167
5 23 connectivity2 1
5 23 coverage 1
5 23 effective_joints 0
5 23 length_ratio 0.111
5 23 sensors 0
